Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,26.70212745666504,26.70212745666504,25.4255313873291,25.585105895996094,9.54682445526123,672453
2000-01-04,25.159574508666992,25.63829803466797,25.159574508666992,25.63829803466797,9.566679000854492,659410
2000-01-05,25.79787254333496,26.755319595336914,25.79787254333496,26.43617057800293,9.864395141601562,444385
2000-01-06,26.382978439331055,26.70212745666504,26.117021560668945,26.32978630065918,9.824699401855469,338988
2000-01-07,26.382978439331055,26.595745086669922,26.276596069335938,26.595745086669922,9.923944473266602,666578
2000-01-10,27.180850982666016,27.340425491333008,26.648935317993164,26.755319595336914,9.983485221862793,743540
2000-01-11,26.648935317993164,26.755319595336914,26.382978439331055,26.755319595336914,9.983485221862793,422648
2000-01-12,26.648935317993164,27.180850982666016,26.595745086669922,26.86170196533203,10.023179054260254,1200498
2000-01-13,26.96808433532715,27.021276473999023,26.542552947998047,26.80851173400879,10.003331184387207,377645
2000-01-14,26.86170196533203,27.021276473999023,26.382978439331055,26.542552947998047,9.904086112976074,481633
2000-01-18,26.542552947998047,26.648935317993164,25.957447052001953,26.223403930664062,9.785006523132324,295160
2000-01-19,26.382978439331055,27.340425491333008,26.276596069335938,27.127660751342773,10.122417449951172,683263
2000-01-20,27.23404312133789,28.989362716674805,27.127660751342773,28.82978630065918,10.757546424865723,1158315
2000-01-21,29.5744686126709,31.914894104003906,28.82978630065918,31.648935317993164,11.809488296508789,1446778
2000-01-24,33.191490173339844,35.15957260131836,31.80851173400879,31.96808433532715,11.928568840026855,2141555
2000-01-25,32.021278381347656,32.34042739868164,30.0,30.4255313873291,11.352983474731445,908745
2000-01-26,30.478723526000977,30.53191566467285,30.106382369995117,30.53191566467285,11.392683029174805,520878
2000-01-27,30.4255313873291,30.4255313873291,29.36170196533203,29.787233352661133,11.114808082580566,1132230
2000-01-28,29.36170196533203,29.521276473999023,28.29787254333496,28.29787254333496,10.559074401855469,463303
2000-01-31,28.617021560668945,29.787233352661133,28.404254913330078,29.5744686126709,11.035421371459961,1064550
2000-02-01,29.680850982666016,30.053190231323242,29.521276473999023,29.5744686126709,11.035421371459961,748475
2000-02-02,29.30851173400879,29.414894104003906,28.617021560668945,28.67021369934082,10.698004722595215,453550
2000-02-03,28.67021369934082,29.414894104003906,28.67021369934082,29.148935317993164,10.876636505126953,732730
2000-02-04,29.20212745666504,29.255319595336914,28.19148826599121,28.29787254333496,10.559074401855469,642255
2000-02-07,28.29787254333496,28.29787254333496,27.76595687866211,28.085105895996094,10.479677200317383,438040
2000-02-08,28.244680404663086,28.29787254333496,28.03191566467285,28.085105895996094,10.479677200317383,682205
2000-02-09,28.085105895996094,28.404254913330078,27.553190231323242,27.553190231323242,10.281200408935547,613115
2000-02-10,27.76595687866211,27.819149017333984,27.127660751342773,27.393617630004883,10.221657752990723,778438
2000-02-11,27.393617630004883,27.819149017333984,27.393617630004883,27.659574508666992,10.320898056030273,384460
2000-02-14,27.872339248657227,28.404254913330078,27.606382369995117,27.819149017333984,10.380441665649414,599015
2000-02-15,27.9255313873291,28.29787254333496,27.76595687866211,28.085105895996094,10.479677200317383,608180
2000-02-16,28.13829803466797,28.29787254333496,27.659574508666992,27.712766647338867,10.340744972229004,443915
2000-02-17,28.085105895996094,28.244680404663086,27.553190231323242,27.659574508666992,10.320898056030273,558595
2000-02-18,27.659574508666992,27.712766647338867,27.23404312133789,27.340425491333008,10.201811790466309,385400
2000-02-22,27.553190231323242,27.659574508666992,26.96808433532715,27.0744686126709,10.102571487426758,381640
2000-02-23,26.86170196533203,26.914894104003906,26.17021369934082,26.276596069335938,9.804855346679688,354968
2000-02-24,26.43617057800293,26.542552947998047,25.372339248657227,25.585105895996094,9.54682445526123,728618
2000-02-25,25.585105895996094,25.69148826599121,24.787233352661133,25.053190231323242,9.348349571228027,530043
2000-02-28,25.0,25.69148826599121,24.787233352661133,25.319149017333984,9.447588920593262,881955
2000-02-29,25.319149017333984,25.79787254333496,25.106382369995117,25.69148826599121,9.586522102355957,514533
